warehouse_id,product_id,product_name,stock,unit_price
1,P001,iPhone 15,150,79999
1,P002,Samsung TV 55inch,80,54999
1,P003,Sony WH1000XM5,200,24999
1,P004,MacBook Air M2,60,114999
1,P005,Dyson V15 Vacuum,45,54999
1,P006,iPad Pro 12.9,90,109999
1,P007,Nikon Z50 Camera,35,74999
1,P008,Apple Watch S9,120,41999
1,P009,Dell XPS 15,50,149999
1,P010,Bose SoundLink,180,29999
1,P011,PlayStation 5,40,54999
1,P012,Xbox Series X,35,52999
1,P013,GoPro Hero 12,95,44999
1,P014,Samsung Galaxy S24,140,79999
1,P015,OnePlus Watch 2,160,19999
2,P001,iPhone 15,200,79999
2,P002,Samsung TV 55inch,120,54999
2,P003,Sony WH1000XM5,300,24999
2,P004,MacBook Air M2,80,114999
2,P005,Dyson V15 Vacuum,60,54999
2,P006,iPad Pro 12.9,130,109999
2,P007,Nikon Z50 Camera,50,74999
2,P008,Apple Watch S9,170,41999
2,P009,Dell XPS 15,70,149999
2,P010,Bose SoundLink,250,29999
2,P011,PlayStation 5,55,54999
2,P012,Xbox Series X,48,52999
2,P013,GoPro Hero 12,120,44999
2,P014,Samsung Galaxy S24,190,79999
2,P015,OnePlus Watch 2,220,19999
3,P001,iPhone 15,120,79999
3,P002,Samsung TV 55inch,70,54999
3,P003,Sony WH1000XM5,180,24999
3,P004,MacBook Air M2,45,114999
3,P005,Dyson V15 Vacuum,30,54999
3,P006,iPad Pro 12.9,75,109999
3,P007,Nikon Z50 Camera,28,74999
3,P008,Apple Watch S9,100,41999
3,P009,Dell XPS 15,40,149999
3,P010,Bose SoundLink,160,29999
3,P011,PlayStation 5,32,54999
3,P012,Xbox Series X,28,52999
3,P013,GoPro Hero 12,80,44999
3,P014,Samsung Galaxy S24,110,79999
3,P015,OnePlus Watch 2,140,19999
4,P001,iPhone 15,90,79999
4,P002,Samsung TV 55inch,55,54999
4,P003,Sony WH1000XM5,140,24999
4,P004,MacBook Air M2,35,114999
4,P005,Dyson V15 Vacuum,22,54999
4,P006,iPad Pro 12.9,60,109999
4,P007,Nikon Z50 Camera,20,74999
4,P008,Apple Watch S9,80,41999
4,P009,Dell XPS 15,30,149999
4,P010,Bose SoundLink,120,29999
4,P011,PlayStation 5,25,54999
4,P012,Xbox Series X,22,52999
4,P013,GoPro Hero 12,65,44999
4,P014,Samsung Galaxy S24,85,79999
4,P015,OnePlus Watch 2,110,19999
5,P001,iPhone 15,180,79999
5,P002,Samsung TV 55inch,110,54999
5,P003,Sony WH1000XM5,270,24999
5,P004,MacBook Air M2,75,114999
5,P005,Dyson V15 Vacuum,55,54999
5,P006,iPad Pro 12.9,120,109999
5,P007,Nikon Z50 Camera,45,74999
5,P008,Apple Watch S9,155,41999
5,P009,Dell XPS 15,65,149999
5,P010,Bose SoundLink,230,29999
5,P011,PlayStation 5,50,54999
5,P012,Xbox Series X,44,52999
5,P013,GoPro Hero 12,110,44999
5,P014,Samsung Galaxy S24,175,79999
5,P015,OnePlus Watch 2,200,19999
6,P001,iPhone 15,110,79999
